title,source,csv file,git hub csv file,pdf link,pdf name,year
District wise Poverty Indicators 2011,The World Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_24.csv&nid=4398,"https://github.com/opennepal/odp-poverty/tree/master/District wise Poverty Indicators, 2011/data.csv",,,
Human Poverty Index Value by Districts (2011),United Nations Development Program  in Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Human Poverty Index Value.csv&nid=3161,https://github.com/opennepal/odp-poverty/tree/master/Human Poverty Index Value by Districts (2011)/data.csv,http://www.npc.gov.np/new/uploadedFiles/allFiles/NHDR_Report_2014.pdf,NHDR_Report_2014.pdf,
Poverty Rates on District Level 2001-2011,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Human Poverty rate.csv&nid=176,"https://github.com/opennepal/odp-poverty/tree/master/Poverty Rates on District Level, 2001-2011/data.csv",,,2001-2011
